content_id,client_id,baseline_rank,baseline_action_score,suggested_action,reason_codes,is_declining_label,trend_direction,impressions_90d,clicks_90d,sessions_90d,avg_position,ctr,engagement_rate,content_age_days,days_since_last_update,word_count
content_5fe46e04994d,client_4e07408562,1,0.938801100440176,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,1,down,517715,741,520,4.2,0.14,4.23,537,104,0.0
content_3430a8b94511,client_19581e27de,2,0.9384370379985327,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,0,stable,152617,440,534,3.3,0.29,6.18,329,104,0.0
content_fea6a0d13b4a,client_19581e27de,3,0.9371004320228092,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,1,down,79965,56,58,3.4,0.07,0.0,313,104,0.0
content_6f81ccd92b64,client_19581e27de,4,0.9360048619281045,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,0,stable,73675,138,136,2.9,0.19,2.94,257,104,0.0
content_bb5bd5f771dc,client_19581e27de,5,0.9357801267873815,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,0,stable,176296,414,536,4.3,0.23,0.93,236,104,0.0
content_396019fec61a,client_4e07408562,6,0.9355872452847804,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,0,stable,83362,74,64,3.8,0.09,7.81,445,104,0.0
content_c1350d507c68,client_19581e27de,7,0.9355808509803921,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,1,down,142505,417,398,3.9,0.29,1.01,313,104,0.0
content_8dacab06e291,client_19581e27de,8,0.9352500389455782,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,0,stable,127907,439,381,3.6,0.34,0.26,313,104,0.0
content_e5ae436f9a16,client_4e07408562,9,0.9352075594237694,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,0,stable,117741,533,522,3.0,0.45,7.09,421,104,0.0
content_cbd93118300b,client_19581e27de,10,0.9350668637721756,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,1,down,145292,662,535,3.3,0.46,1.87,313,104,0.0
content_09783793b38d,client_19581e27de,11,0.9347521838635455,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,1,down,66048,89,100,3.1,0.13,1.0,257,104,0.0
content_8053a66bd6ac,client_19581e27de,12,0.9347159117547017,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,1,down,52687,40,52,2.6,0.08,1.92,236,104,0.0
content_4d1fe5b32dc2,client_19581e27de,13,0.9346499055455515,refresh_and_review_ctr,position_opportunity,0,stable,97999,512,549,2.5,0.52,7.47,329,104,0.0
content_9532f197bbc8,client_4e07408562,14,0.9343700278478058,refresh_and_review_ctr,position_opportunity,1,down,309192,2689,1098,2.0,0.87,8.01,445,104,0.0
content_87dfc063bf4e,client_19581e27de,15,0.933877448235961,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,1,down,90991,72,159,4.5,0.08,4.4,153,104,0.0
content_79b25654070a,client_19581e27de,16,0.9332233675536881,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,0,stable,148737,711,619,3.7,0.48,2.26,257,104,0.0
content_01908772c6db,client_19581e27de,17,0.9331432040049353,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,1,down,187893,845,782,4.0,0.45,1.53,313,104,0.0
content_a7427266c305,client_19581e27de,18,0.9324723680505536,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,0,stable,201111,219,255,5.7,0.11,1.96,257,104,0.0
content_3f403bb36296,client_19581e27de,19,0.9323862404661865,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,0,stable,156681,565,678,4.5,0.36,0.44,148,104,0.0
content_a5dbb404bdc2,client_f369cb89fc,20,0.9322115665777311,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,0,stable,79035,59,44,8.7,0.07,6.82,106,106,2691.0
content_154aa47edd03,client_19581e27de,21,0.9321666727224224,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,0,stable,113501,214,314,4.8,0.19,6.69,153,104,0.0
content_0c94db3b0ab8,client_19581e27de,22,0.931730937745098,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,0,stable,66824,163,147,3.4,0.24,0.68,313,104,0.0
content_2c2606c5d176,client_19581e27de,23,0.9316100630485528,refresh_and_review_ctr,position_opportunity,1,down,347399,1854,2146,4.2,0.53,1.3,362,104,0.0
content_adddad39251c,client_19581e27de,24,0.9315774142823796,refresh_and_review_ctr,position_opportunity,0,stable,129239,711,688,3.6,0.55,3.92,329,104,0.0
content_bc104ff59d1a,client_19581e27de,25,0.9313639758636787,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,0,stable,132918,437,383,4.7,0.33,0.78,313,104,0.0
content_6935194d6d56,client_19581e27de,26,0.9311779273742831,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,1,down,117210,258,250,5.0,0.22,6.0,329,104,0.0
content_cd1b913fa942,client_19581e27de,27,0.9308859296218488,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,0,stable,140846,326,320,5.3,0.23,1.56,258,104,0.0
content_adcaa6dca61e,client_19581e27de,28,0.9302624249233026,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,0,stable,67435,285,241,3.0,0.42,3.73,330,104,0.0
content_5bca3620478c,client_19581e27de,29,0.9301648494897959,refresh_and_review_ctr,position_opportunity|low_ctr_visible_page,0,stable,102161,245,427,4.9,0.24,2.11,236,104,0.0
